"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","11","","SaladTypeRepoSuite","","","","[Salad type update] sql error",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","20","","CommentRepoSuite","","","","[Comment update] sql error",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","45","","UserRepoSuite","","","","[User update] failed to update",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","2","","SaladTypeRepoSuite","","","","[Salad type unlink] sql error",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","29","","SaladSuite","","","","[Salad create] successfully created",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","5","","RecipeStepInteractorSuite","","","","[Recipe step interactor create] service error",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","16","","RecipeRepoSuite","","","","[Recipe delete by id] sql error",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","31","","UserSuite","","","","[User create] empty name",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","17","","RecipeStepRepoSuite","","","","[Recipe step get by id] failed to get",""
"passed","Tue Dec 24 14:11:53 GMT 2024","Tue Dec 24 14:11:53 GMT 2024","41","","ITRecipeStepSuite","","","","[Create] successfully created",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","9","","SaladRepoSuite","","","","[Recipe delete by id] sql error",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","12","","SaladInteractorSuite","","","","[Salad interactor get all] successful get",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","41","","SaladInteractorSuite","","","","[Salad interactor get all rated by user] successful get",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","7","","SaladTypeRepoSuite","","","","[Salad type link] sql error",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","36","","CommentRepoSuite","","","","[Comment delete by id] sql error",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","5","","AuthSuite","","","","[Login] successfully signed in",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","15","","CommentSuite","","","","[Comment Create] successfully created",""
"passed","Tue Dec 24 14:11:53 GMT 2024","Tue Dec 24 14:11:53 GMT 2024","38","","ITRecipeStepSuite","","","","[Delete all by recipe id] success",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","5","","MeasurementSuite","","","","[Measurement update link] repo error",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","6","","RecipeStepSuite","","","","[RecipeStep get by id] repo error",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","8","","SaladSuite","","","","[Salad update] repo error",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","24","","SaladInteractorSuite","","","","[Salad interactor get all] service error",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","13","","SaladSuite","","","","[Salad get all] repo error",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","7","","KeywordsValidatorSuite","","","","[keyword validator delete by id] successfully deleted",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","15","","SaladTypeSuite","","","","[Salad type get by id] repo error",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","48","","CommentRepoSuite","","","","[Comment get by id] failed to get",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","16","","SaladTypeSuite","","","","[Salad type delete by id] successfully deleted",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","36","","MeasurementSuite","","","","[Measurement update] repo error",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","40","","MeasurementSuite","","","","[Measurement update link] successfully updated",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","21","","RecipeStepRepoSuite","","","","[Recipe step delete by id] sql error",""
"passed","Tue Dec 24 14:11:53 GMT 2024","Tue Dec 24 14:11:53 GMT 2024","36","","ITRecipeStepSuite","","","","[Get by id] step not found",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","6","","MeasurementRepoSuite","","","","[Measurement get all] successful get",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","20","","KeywordsValidatorSuite","","","","[Keyword validator get all] repo error",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","28","","MeasurementSuite","","","","[Measurement create] successfully created",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","3","","SaladTypeRepoSuite","","","","[Salad type link] successfully linked",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","37","","RecipeSuite","","","","[Recipe get all] successful get",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","6","","SaladTypeRepoSuite","","","","[Salad type get all] successful get",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","14","","KeywordsRepoSuite","","","","[Keyword update] successfully updated",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","11","","RecipeStepRepoSuite","","","","[Recipe step delete by id] successfully deleted",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","4","","KeywordsValidatorSuite","","","","[Keyword validator update] empty word",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","8","","IngredientTypeRepoSuite","","","","[Ingredient type get all] successful get",""
"passed","Tue Dec 24 14:12:05 GMT 2024","Tue Dec 24 14:12:07 GMT 2024","1619","","E2ESuite","","","","[e2e] Test2",""
"passed","Tue Dec 24 14:11:53 GMT 2024","Tue Dec 24 14:11:53 GMT 2024","23","","ITRecipeStepSuite","","","","[Get all by recipe id] success",""
"passed","Tue Dec 24 14:11:53 GMT 2024","Tue Dec 24 14:11:53 GMT 2024","17","","ITAuthSuite","","","","[Register] successfully signed up",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","37","","MeasurementSuite","","","","[Measurement get by recipe] successfully updated",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","5","","IngredientTypeSuite","","","","[Ingredient type update] successfully updated",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","3","","SaladSuite","","","","[Salad get all] successful get",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","5","","SaladRepoSuite","","","","[Recipe create] not inserted",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","19","","SaladSuite","","","","[Salad get all] repo error",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","19","","CommentSuite","","","","[Comment delete by id] repo error",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","1","","MeasurementSuite","","","","[Measurement get by recipe] repo error",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","26","","UserSuite","","","","[User delete by id] successfully deleted",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","40","","UserRepoSuite","","","","[User get all] successful get",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","27","","RecipeSuite","","","","[Recipe get by id] repo error",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","28","","RecipeRepoSuite","","","","[Recipe get all] sql error",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","29","","UserSuite","","","","[User delete by id] repo error",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","16","","KeywordsRepoSuite","","","","[Keyword create] not inserted",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","21","","RecipeStepSuite","","","","[RecipeStep get all by recipe] successful get",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","6","","SaladRepoSuite","","","","[Recipe get by id] successful get",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","6","","SaladTypeRepoSuite","","","","[Salad type get by id] failed to get",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","3","","MeasurementRepoSuite","","","","[Measurement delete by id] successfully deleted",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","11","","MeasurementRepoSuite","","","","[Measurement get by recipe id] successful get",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","40","","MeasurementSuite","","","","[Measurement create] empty name",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","21","","IngredientTypeRepoSuite","","","","[Ingredient type delete by id] sql error",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","2","","IngredientTypeSuite","","","","[Ingredient type get by id] successful get",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","7","","RecipeRepoSuite","","","","[Recipe get by id] failed to get",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","7","","IngredientTypeRepoSuite","","","","[Ingredient type get by id] failed to get",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","19","","IngredientTypeRepoSuite","","","","[Ingredient type update] sql error",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","8","","RecipeStepInteractorSuite","","","","[Recipe step interactor create] successfully created",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","11","","SaladTypeSuite","","","","[Salad type create] successfully created",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","29","","RecipeSuite","","","","[Recipe get by id] successful get",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","16","","KeywordsRepoSuite","","","","[Keyword create] successfully created",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","15","","UserSuite","","","","[User get all] successful get",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","28","","SaladSuite","","","","[Salad get by id] successful get",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","8","","RecipeStepSuite","","","","[RecipeStep update] repo error",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","19","","KeywordsValidatorSuite","","","","[Keyword validator verify] verified",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","10","","SaladTypeSuite","","","","[Url validator verify] verification failed",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","15","","MeasurementRepoSuite","","","","[Measurement create] successfully created",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","13","","MeasurementRepoSuite","","","","[Measurement update] successfully updated",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","28","","KeywordsRepoSuite","","","","[Keyword delete by id] sql error",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","16","","SaladInteractorSuite","","","","[Salad interactor create] successful get",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","6","","RecipeRepoSuite","","","","[Recipe update] successfully updated",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","1","","SaladTypeRepoSuite","","","","[Salad type delete by id] successfully deleted",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","1","","AuthSuite","","","","[Register] empty name",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","11","","SaladTypeSuite","","","","[Salad type link] repo error",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","50","","MeasurementSuite","","","","[Measurement get all] successful get",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","20","","RecipeStepInteractorSuite","","","","[Recipe step interactor create] successfully updated",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","9","","RecipeStepInteractorSuite","","","","[Recipe step interactor create] service error",""
"passed","Tue Dec 24 14:11:40 GMT 2024","Tue Dec 24 14:11:40 GMT 2024","6","","IngredientTypeSuite","","","","[Ingredient type update] repo error",""
